Close,High,Low,Open,Volume
AEC,AEC,AEC,AEC,AEC
6.0,6.0,5.25,5.25,833
6.0,6.0,5.25,5.25,244
6.0,6.75,6.0,6.0,3616
7.5,7.5,6.75,6.75,2813
7.5,8.25,7.5,7.5,4213
7.5,7.5,7.5,7.5,1608
6.75,7.5,6.0,7.5,2843
6.75,6.75,6.0,6.75,268
7.5,7.5,7.5,7.5,991
6.75,7.5,6.75,7.5,159
6.75,8.25,6.75,8.25,1324
6.75,7.5,6.75,7.5,427
6.75,6.75,6.75,6.75,803
6.75,6.75,6.0,6.75,2895
6.75,6.75,6.75,6.75,71
6.0,6.75,6.0,6.75,5604
6.0,6.0,6.0,6.0,1871
6.0,6.0,5.25,6.0,760
6.0,6.75,6.0,6.75,91
6.75,6.75,6.0,6.0,349
6.0,6.75,6.0,6.0,1044
6.0,6.0,6.0,6.0,84
6.0,6.0,6.0,6.0,3609
6.0,6.0,6.0,6.0,735
6.75,6.75,6.75,6.75,2483
6.75,7.5,6.75,7.5,3464
6.75,7.5,6.75,7.5,2489
6.75,7.5,6.75,6.75,1996
6.75,7.5,6.75,7.5,1992
8.25,9.0,7.5,7.5,2461
7.5,9.0,7.5,9.0,3287
7.5,8.25,6.75,7.5,3909
7.5,7.5,6.75,7.5,2955
6.75,7.5,6.75,7.5,2687
6.75,7.5,6.75,6.75,1139
6.75,7.5,6.75,6.75,739
6.75,7.5,6.75,7.5,4585
6.75,6.75,6.0,6.75,3655
6.0,6.75,6.0,6.75,777
6.75,6.75,6.0,6.0,3083
6.75,7.5,6.0,7.5,3276
6.0,6.75,6.0,6.0,3581
6.0,6.0,6.0,6.0,1241
6.0,6.75,5.25,6.75,224
6.0,6.0,6.0,6.0,737
6.0,6.0,6.0,6.0,145
6.0,6.0,6.0,6.0,77
6.0,6.0,6.0,6.0,137
7.5,7.5,6.0,6.0,1068
6.75,6.75,6.0,6.75,1499
6.75,7.5,6.75,7.5,187
6.75,6.75,6.75,6.75,327
6.75,7.5,6.75,6.75,189
7.5,7.5,6.75,7.5,2701
6.75,7.5,6.75,7.5,367
6.75,7.5,6.75,7.5,180
6.75,6.75,6.75,6.75,364
6.75,7.5,6.75,6.75,1924
6.75,6.75,6.0,6.0,479
6.75,6.75,6.0,6.75,877
6.75,6.75,6.75,6.75,13
6.75,7.5,6.75,6.75,27
