Close,High,Low,Open,Volume
ALGS,ALGS,ALGS,ALGS,ALGS
673.75,724.875,649.75,701.25,8512
703.5,725.75,659.5,665.5,5948
752.0,777.8499755859375,679.625,703.75,2824
790.75,811.0,774.625,781.5,2168
793.0,819.5,758.75,784.0,2928
781.75,805.5,751.25,780.0,944
796.0,801.75,757.25,776.75,1192
834.25,855.0,783.0,798.75,2460
853.5,914.5,843.75,869.5,2336
790.5,860.7249755859375,766.25,842.5,2340
778.25,851.5,772.75,797.5,1668
873.5,937.75,728.25,794.5,9516
855.0,913.5,825.0,870.0,1916
821.25,851.5,805.5,851.5,3004
760.0,837.5,736.75,837.5,1636
744.0,769.2999877929688,727.25,760.0,1516
664.25,747.5,634.75,725.0,3172
659.5,702.75,577.75,661.75,7068
704.25,726.5,632.0,650.25,2960
691.75,774.5,652.75,726.25,2416
642.5,695.5,616.5,691.5,2608
574.75,657.25,567.5,657.25,4612
595.0,635.25,539.5,584.75,6440
576.75,603.875,544.5,599.75,2320
582.25,596.5,563.5,569.75,1572
631.75,636.75,567.625,575.0,1656
625.0,650.0,607.5,638.0,1132
583.25,634.5750122070312,572.25,633.5,2412
630.75,648.0,584.5,584.5,1820
764.0,793.375,656.25,661.5,5368
759.75,875.0,705.75,800.25,5572
732.0,791.75,710.75,753.5,3280
745.0,787.25,712.5,734.0,2500
729.75,773.0,703.75,745.0,3520
683.25,729.25,633.25,726.5,4180
645.75,697.9249877929688,639.0,679.75,2208
701.5,721.75,628.0,647.5,2960
718.5,731.5,641.0,702.75,3400
730.0,757.5,698.5,725.75,2056
619.5,730.5,603.5,730.5,3580
603.5,632.125,600.0,617.25,1772
538.5,606.25,529.75,600.0,2404
560.25,562.75,500.0,536.75,2172
578.0,589.375,536.5,552.5,2692
619.5,650.75,578.0,578.0,1744
580.0,641.0,559.5,624.5,2696
596.0,596.375,562.5,582.5,1336
653.5,660.0,595.5,622.25,1496
649.25,656.0,589.5,642.75,1500
650.25,667.75,618.75,663.25,1832
633.25,653.75,618.625,645.5,1008
612.0,647.8499755859375,598.75,631.5,2016
603.75,649.25,565.5,611.0,5872
566.75,598.7249755859375,555.25,594.0,1364
532.0,570.5,519.0,558.25,1596
480.0,562.25,477.75,562.25,1924
504.0,520.0,464.0,475.0,1452
477.5,514.4500122070312,463.0,502.0,1856
481.25,492.75,442.0,473.0,1460
521.75,545.5,459.375,479.5,2708
568.5,568.5,488.625,530.0,3292
550.0,565.75,537.25,565.75,7336
563.5,580.0,538.25,552.5,2904
566.5,577.75,553.25,566.5,1376
514.75,570.0,509.5,557.75,1992
507.5,551.0,484.75,517.25,1080
536.75,552.0,496.25,511.5,1712
533.5,552.5,516.75,542.75,1820
515.0,541.125,502.375,532.0,1064
539.5,546.75,499.5,499.5,4200
557.5,569.75,532.5,551.0,1500
540.25,594.5,521.75,569.0,1816
538.5,559.0,513.0,537.0,2244
580.75,589.5,492.0,535.0,2440
614.5,621.0,571.5,581.75,3096
650.75,672.5,600.5,609.5,2804
611.75,660.25,605.25,660.25,2156
