Close,High,Low,Open,Volume
ABEO,ABEO,ABEO,ABEO,ABEO
42.25,42.5,37.5,39.25,126016
43.5,44.75,42.5,42.75,91936
42.75,45.75,42.5,44.25,84332
44.5,45.25,43.0,45.0,53620
44.0,45.0,42.75,45.0,42516
46.0,47.0,41.75,43.5,98696
45.5,48.75,44.5,46.0,90076
44.75,46.0,44.25,46.0,44324
49.5,50.25,44.75,45.25,146292
47.75,51.75,47.0,49.75,86632
53.5,54.0,48.25,48.75,190360
49.75,59.5,49.25,54.25,207176
49.5,51.5,47.5,51.25,110948
53.0,53.0,48.0,49.25,93488
58.25,58.5,51.0,55.5,247080
56.0,59.25,54.0,58.0,156448
51.0,56.0,50.25,55.75,116656
49.75,52.5,49.5,50.25,88336
47.75,50.0,47.25,48.75,97224
48.5,51.25,47.5,49.25,153952
50.75,51.25,49.0,50.0,74208
58.5,60.5,51.5,52.0,263984
61.5,63.0,58.0,60.0,153532
64.5,65.5,57.75,65.5,137680
84.75,87.5,65.5,66.75,665760
83.5,94.75,80.0,94.75,468296
84.0,86.25,71.5,82.0,364136
84.0,88.75,77.0,86.5,286748
74.0,93.75,71.75,83.0,679596
68.0,77.25,67.75,75.0,291776
65.75,68.0,53.25,65.0,494428
61.5,63.0,56.25,60.25,171604
60.25,62.5,58.0,62.25,141160
55.75,60.75,55.75,59.0,130096
52.5,54.25,47.0,53.5,198820
55.0,58.0,53.75,53.75,111208
62.25,71.0,53.25,53.75,700252
60.5,71.75,59.0,66.75,563076
58.5,64.5,58.0,63.75,191220
59.0,62.5,58.0,59.0,108392
54.75,60.0,54.0,59.5,145272
52.0,56.75,48.25,54.75,185192
50.25,53.5,42.5,52.5,156716
52.5,53.5,49.75,51.0,83612
54.5,56.0,52.0,53.25,105400
55.0,56.75,53.25,55.0,65556
56.5,57.75,55.25,55.5,74164
58.75,59.5,55.75,57.0,75012
57.75,60.25,56.25,59.5,70628
58.0,59.5,55.75,58.0,83780
57.75,59.5,55.0,55.75,62656
53.5,57.25,53.0,56.75,52116
54.5,56.25,52.75,54.5,85460
51.0,55.0,50.75,54.25,61616
47.5,51.5,47.0,50.75,73800
44.5,50.0,44.25,48.75,103004
47.0,48.25,43.5,44.0,79208
45.0,47.0,43.5,47.0,72308
44.75,48.5,44.5,45.0,76452
46.0,47.0,43.0,45.0,42596
47.0,48.75,45.25,45.75,47704
46.5,50.0,44.75,48.0,74464
46.25,46.75,44.0,46.25,45480
42.5,45.75,42.5,45.5,54816
40.5,43.25,40.5,42.5,53784
41.75,42.75,39.75,41.0,47584
41.0,41.75,40.25,41.25,49300
38.75,41.0,38.25,40.25,44192
38.5,39.25,38.0,38.25,42880
40.0,41.25,38.0,38.25,67468
37.5,41.0,37.5,40.0,50092
37.25,38.0,35.75,37.5,63172
35.25,37.25,34.0,36.5,47496
36.5,37.0,34.0,34.25,38796
38.0,39.75,36.0,37.5,48044
42.0,43.5,38.0,38.75,89000
40.5,44.75,40.25,44.25,73984
42.75,44.0,40.0,40.0,61696
42.0,44.75,41.75,43.5,46240
42.0,43.0,41.0,42.5,37144
42.0,43.25,40.5,42.5,34708
44.25,45.0,40.25,41.0,80820
50.75,51.0,45.5,46.5,257612
42.75,51.0,42.5,50.75,188136
41.25,44.25,41.0,43.75,71788
38.0,40.5,37.0,40.25,80936
38.5,40.0,37.5,37.5,31204
33.75,38.5,33.25,38.5,88716
32.75,35.5,31.5,32.0,108712
35.25,36.25,32.25,33.0,75700
32.25,36.0,31.75,35.5,70960
34.5,36.25,32.5,32.5,57860
34.0,36.25,33.75,34.75,35004
39.0,40.25,33.75,33.75,80056
38.5,39.75,36.25,37.25,59716
39.25,39.75,37.5,37.5,51052
40.5,41.0,38.75,40.0,34416
38.75,40.5,38.25,39.25,29940
37.25,38.75,37.0,38.5,33396
41.25,42.25,37.25,37.75,120328
41.25,42.5,40.25,42.25,46320
41.25,43.5,40.75,41.75,42916
42.75,43.5,41.0,41.75,36724
44.0,44.25,42.5,43.0,68220
45.5,48.0,43.5,45.5,93500
42.25,46.0,41.75,46.0,66088
43.5,45.25,42.0,43.0,83388
44.75,45.0,43.25,44.75,38956
43.25,45.25,43.0,44.75,46360
46.25,46.75,42.75,42.75,60276
45.5,47.25,44.75,46.5,33292
45.0,46.0,45.0,45.5,26904
42.0,45.25,42.0,45.0,45704
