Close,High,Low,Open,Volume
ABVC,ABVC,ABVC,ABVC,ABVC
50.5,50.5,47.5,50.0,340
50.5,50.5,50.5,50.5,70
50.5,50.5,50.0,50.0,110
50.0,50.5,50.0,50.0,140
50.0,50.0,49.5,50.0,200
50.0,50.0,49.5,50.0,150
50.5,50.5,50.0,50.0,100
50.5,51.0,49.0,50.0,210
50.0,50.0,48.5,48.5,130
54.0,60.0,50.0,60.0,260
56.5,60.0,51.0,51.0,520
54.0,54.0,49.5,52.5,80
49.5,52.5,49.5,52.5,130
53.0,53.0,49.5,49.5,240
50.5,52.0,49.5,50.0,180
52.0,52.0,49.5,50.0,100
49.54999923706055,50.5,49.0,50.5,410
49.0,50.5,49.0,49.0,180
50.0,50.0,49.0,49.0,130
50.0,50.0,42.20000076293945,49.0,260
49.5,50.0,49.0,49.0,200
49.5,49.5,49.0,49.0,20
48.0,48.0,42.20000076293945,42.20000076293945,220
49.5,49.5,48.0,49.0,180
48.5,48.5,48.5,48.5,50
48.5,49.0,48.5,48.5,220
49.5,50.0,48.5,48.5,200
48.5,48.5,48.0,48.0,130
48.5,48.5,46.0,48.0,200
48.5,48.5,48.0,48.0,110
49.5,49.5,47.25,47.25,200
48.5,48.5,48.0,48.0,70
50.0,50.0,48.0,48.0,120
45.0,46.0,40.0,40.0,770
46.5,46.5,44.880001068115234,44.880001068115234,120
44.0,44.0,40.0,40.0,220
41.79999923706055,41.79999923706055,41.79999923706055,41.79999923706055,30
44.0,44.0,40.0,40.099998474121094,260
44.0,44.0,43.0,43.0,90
43.5,43.5,43.5,43.5,100
45.0,45.0,43.5,43.5,100
45.0,45.0,45.0,45.0,0
44.0,44.0,43.0,43.0,70
44.0,44.0,44.0,44.0,90
44.0,45.0,44.0,45.0,90
44.0,44.0,44.0,44.0,60
44.0,44.0,44.0,44.0,50
45.0,45.0,44.0,44.0,80
44.0,44.0,44.0,44.0,40
45.0,45.0,44.5,44.5,60
44.0,44.0,44.0,44.0,60
45.0,45.0,45.0,45.0,20
44.0,44.0,44.0,44.0,60
44.0,44.0,43.5,43.5,90
44.0,44.0,42.5,43.0,100
43.0,43.0,43.0,43.0,50
44.0,44.0,43.5,43.5,120
44.5,44.5,43.5,43.5,80
45.0,45.0,43.5,43.5,140
44.5,44.5,43.0,44.0,120
45.0,45.0,44.0,44.0,90
45.0,45.0,44.5,44.5,100
45.0,45.0,45.0,45.0,80
45.0,45.0,45.0,45.0,60
44.0,44.0,44.0,44.0,50
42.0,44.0,42.0,44.0,280
44.0,44.0,44.0,44.0,310
44.0,44.0,44.0,44.0,280
44.0,44.0,44.0,44.0,210
44.0,44.0,44.0,44.0,240
44.0,44.0,44.0,44.0,230
44.0,44.0,44.0,44.0,230
42.0,44.0,42.0,44.0,420
40.5,45.0,40.5,43.5,390
45.0,45.0,44.5,44.5,120
42.75,46.0,40.0,45.0,410
45.0,45.0,44.0,44.0,110
45.5,45.5,44.5,44.5,90
45.5,45.5,45.0,45.0,70
46.0,46.0,45.0,45.0,200
44.5,46.0,40.0,45.5,230
45.0,45.0,45.0,45.0,50
45.0,45.0,45.0,45.0,0
45.0,45.0,45.0,45.0,0
45.0,45.0,45.0,45.0,0
47.0,47.0,45.0,46.5,220
46.5,46.5,45.5,45.5,180
55.099998474121094,55.099998474121094,44.0,44.0,270
54.900001525878906,80.0,46.0,55.0,280
53.0,53.0,52.900001525878906,53.0,80
54.0,54.0,53.0,53.0,100
55.0,55.0,53.5,53.5,140
56.0,56.0,54.5,54.5,230
53.5,53.5,53.5,53.5,80
55.0,55.0,54.0,54.0,320
55.0,55.0,54.0,54.0,70
55.0,55.0,54.0,54.0,90
55.0,55.0,54.0,54.0,100
55.0,55.0,54.5,54.5,60
55.5,55.5,54.0,54.0,80
55.0,55.0,55.0,55.0,50
55.0,55.0,55.0,55.0,90
53.0,53.0,53.0,53.0,40
53.5,53.5,53.0,53.0,60
53.0,53.0,53.0,53.0,90
53.5,53.5,53.0,53.0,60
49.0,49.0,43.29999923706055,43.5,80
50.0,53.5,50.0,52.400001525878906,160
52.5,52.5,51.5,51.5,100
52.5,52.5,52.0,52.0,80
52.0,52.0,52.0,52.0,80
53.5,53.5,52.0,52.0,80
52.0,52.0,52.0,52.0,130
52.0,52.0,52.0,52.0,90
52.0,53.0,52.0,52.0,120
47.5,53.0,43.0,52.5,300
51.0,51.0,50.0,50.0,120
50.0,50.0,49.0,49.0,130
50.0,50.0,49.0,49.0,150
50.0,50.0,49.0,49.0,100
50.0,50.0,49.0,49.0,60
50.0,50.0,45.0,50.0,50
50.0,50.0,49.5,49.5,80
50.5,50.5,50.0,50.0,80
51.0,51.0,50.0,50.0,110
45.0,51.0,45.0,50.0,100
50.0,50.0,48.0,49.0,90
50.0,50.0,50.0,50.0,60
50.0,50.0,50.0,50.0,40
50.0,50.0,50.0,50.0,40
49.5,49.5,49.0,49.0,70
49.5,49.5,49.0,49.0,60
50.0,50.0,49.5,49.5,80
49.5,49.5,49.5,49.5,40
50.0,50.0,49.5,49.5,100
50.0,50.0,49.5,49.5,100
50.0,50.0,49.5,49.5,110
49.5,49.5,49.0,49.0,100
50.0,50.0,49.5,49.5,60
49.5,49.5,49.5,49.5,80
50.0,50.0,49.5,49.5,70
50.0,50.0,50.0,50.0,50
47.0,51.0,47.0,50.0,70
44.0,51.0,44.0,49.0,120
49.400001525878906,49.900001525878906,48.5,48.5,60
49.5,49.5,40.0,48.5,510
29.899999618530273,36.400001525878906,28.350000381469727,33.20000076293945,68550
