Close,High,Low,Open,Volume
ADIL,ADIL,ADIL,ADIL,ADIL
43.25,44.0,42.0,42.25,7088
45.5,45.75,42.5,43.25,11924
44.0,46.5,43.5,45.5,7092
46.0,46.25,44.5,44.75,5932
48.25,49.25,46.0,46.25,27620
51.75,53.25,47.0,48.25,84788
49.75,51.25,47.5,51.0,17624
52.0,53.75,49.75,50.75,28888
51.5,53.5,50.75,52.25,13244
48.0,52.5,47.75,51.75,13172
50.5,50.75,48.25,48.25,8608
49.75,51.5,47.75,50.0,9492
56.25,56.5,49.5,50.0,40464
55.5,56.5,53.25,56.5,22960
57.0,58.0,53.25,55.5,20004
58.5,68.5,56.25,58.0,103572
55.25,57.75,51.25,56.5,23420
53.75,55.25,52.0,54.5,9980
53.75,55.5,52.5,55.5,7336
53.75,54.0,52.5,53.25,10240
55.5,56.25,53.25,54.25,10616
58.75,61.0,55.0,55.75,23128
58.75,63.75,58.0,61.0,36280
70.0,70.5,57.0,59.5,108176
77.75,79.75,65.5,68.5,124012
74.5,76.75,72.0,74.25,34336
72.25,77.5,64.0,76.0,44948
72.75,76.75,71.5,73.5,24668
75.5,76.5,69.0,72.5,23804
79.75,82.5,72.0,75.25,29748
77.75,79.75,72.75,79.75,23192
74.0,77.75,70.5,77.75,18396
74.25,76.25,70.75,73.5,20084
70.0,77.75,69.5,73.0,23808
77.0,77.75,58.25,67.5,115656
78.25,80.0,74.0,74.75,26216
68.75,82.25,68.5,77.0,60636
62.75,74.0,61.5,73.0,81692
59.75,65.25,58.5,63.25,20656
63.0,64.25,58.75,60.25,16448
58.75,64.25,58.25,64.25,12552
54.0,61.0,51.25,57.5,37624
53.25,55.0,46.25,53.25,20740
53.0,54.5,51.5,51.75,7024
58.25,59.5,53.75,54.5,14112
57.0,60.75,57.0,58.25,5640
61.0,61.5,58.25,59.75,9268
64.25,66.0,58.75,60.75,20708
67.5,71.0,61.25,65.0,57620
62.5,67.75,62.0,67.75,24984
69.75,70.75,60.5,63.5,36376
65.0,74.5,63.25,68.5,31012
63.5,66.5,63.5,65.25,12080
62.75,65.0,61.25,64.75,9372
60.75,63.75,60.5,62.75,7908
56.25,63.5,56.25,61.25,17096
59.75,60.75,54.25,54.75,16044
59.75,61.5,57.5,60.5,4128
57.5,60.0,57.5,59.25,7620
57.5,59.0,55.0,57.5,5948
60.5,62.25,57.25,58.25,9168
60.5,62.25,60.0,62.25,3032
61.0,64.0,58.75,62.5,11648
62.75,64.25,61.75,62.25,6120
59.5,64.5,58.75,63.75,7156
60.5,62.5,58.5,60.0,3104
59.5,62.75,59.0,60.5,2520
54.5,59.0,53.75,58.5,10856
56.25,57.0,52.25,55.0,10840
57.75,58.5,54.5,55.5,5868
54.75,57.75,53.75,57.75,6476
54.75,55.75,53.0,55.75,3452
51.25,55.75,51.25,54.0,4732
50.5,53.0,50.25,50.5,4408
51.0,54.0,49.25,50.5,16240
51.25,53.5,49.25,50.25,7760
54.75,55.5,51.5,51.5,4872
55.0,56.25,51.5,55.0,12004
53.75,55.0,52.75,55.0,4636
56.0,56.75,53.0,53.0,1912
54.25,56.5,54.25,56.25,1836
55.0,56.5,54.25,54.25,992
57.75,61.25,54.25,56.25,9564
57.5,59.0,54.25,56.75,8364
57.25,59.5,55.0,56.75,4852
53.75,58.0,53.5,57.25,4676
54.25,57.25,53.0,54.0,5052
52.5,54.0,52.5,53.5,2300
51.5,52.75,47.75,51.5,3692
51.75,54.0,50.0,51.25,6628
51.25,52.5,49.5,51.25,5464
58.75,59.5,49.5,50.5,8584
57.25,59.5,55.75,58.75,4424
58.0,59.25,55.75,57.0,5752
58.25,58.5,56.75,57.25,2532
63.25,63.25,59.25,59.25,7016
63.0,64.0,61.75,63.0,2988
62.75,68.5,60.0,62.5,5336
62.5,64.75,60.0,62.75,7664
60.5,62.5,60.25,62.5,7648
60.75,62.25,58.75,59.75,4692
61.75,62.5,59.25,60.0,3464
64.25,65.0,61.25,61.25,4404
65.75,66.0,62.75,64.75,7916
70.5,70.75,64.0,65.25,46424
66.5,68.75,65.0,65.0,18616
70.5,70.75,65.75,65.75,15836
70.75,73.25,70.5,71.5,12308
68.25,73.0,67.25,72.5,10404
67.5,70.25,65.0,69.25,3492
67.5,69.0,66.5,68.75,1608
69.75,70.0,67.75,68.5,3712
67.5,69.5,66.25,68.5,1648
68.0,69.25,66.5,68.0,3152
68.75,70.25,66.5,66.75,6480
73.0,73.25,68.25,68.25,8724
71.75,77.25,69.25,73.75,204816
78.25,94.5,74.25,88.0,1094180
73.5,73.5,63.25,68.25,175556
63.0,70.0,61.25,69.0,147160
62.0,63.75,60.0,62.75,54676
68.25,77.5,56.75,59.0,342096
65.25,67.5,64.25,64.75,33036
63.75,65.75,62.75,64.25,14668
63.25,65.25,62.5,63.75,11640
73.5,74.0,62.5,63.25,78312
71.0,74.0,68.75,73.25,35148
69.0,74.75,67.5,70.25,28212
66.25,68.75,65.25,66.75,12028
