Close,High,Low,Open,Volume
AEMD,AEMD,AEMD,AEMD,AEMD
2016.0,2136.0,1904.0,1968.0,1737
2240.0,2240.0,1968.0,2016.0,904
2056.0,2208.0,2056.0,2200.0,778
2040.0,2104.0,1960.0,2072.0,347
2168.0,2272.0,2000.0,2096.0,1017
2176.0,2280.0,2128.0,2256.0,638
2000.0,2200.0,1992.0,2160.0,1034
2080.0,2104.0,2008.0,2056.0,273
2096.0,2136.0,2016.0,2104.0,332
2032.0,2112.0,2024.0,2048.0,321
2040.0,2080.0,2024.0,2080.0,292
2136.0,2216.0,2056.0,2080.0,711
2160.0,2264.0,2120.0,2168.0,735
2112.0,2192.0,2040.0,2104.0,545
2128.0,2192.0,1864.0,2112.0,496
2120.0,2192.0,2056.0,2128.0,323
1936.0,2104.0,1920.0,2056.0,393
1704.0,1968.0,1680.0,1936.0,589
1840.0,2384.0,1736.0,1808.0,5348
1840.0,1904.0,1720.0,1904.0,1305
1824.0,1856.0,1768.0,1848.0,637
1840.0,1880.0,1800.0,1864.0,470
1992.0,2032.0,1840.0,1840.0,567
2208.0,2304.0,2024.0,2024.0,1477
2248.0,2280.0,2160.0,2280.0,932
2408.0,2512.0,2296.0,2320.0,1779
2464.0,2496.0,2184.0,2368.0,1187
2192.0,2400.0,1928.0,2160.0,4024
2216.0,2336.0,2200.0,2232.0,868
2088.0,2240.0,2032.0,2216.0,975
2136.0,2160.0,1984.0,2088.0,432
2088.0,2136.0,2016.0,2136.0,342
2112.0,2144.0,2064.0,2112.0,308
2096.0,2120.0,2040.0,2048.0,339
1920.0,2032.0,1776.0,2000.0,852
1928.0,1984.0,1896.0,1952.0,360
1856.0,1952.0,1816.0,1952.0,215
1760.0,1864.0,1688.0,1824.0,344
1840.0,1888.0,1800.0,1840.0,212
1776.0,1880.0,1776.0,1880.0,203
1752.0,1816.0,1704.0,1816.0,221
1544.0,1752.0,1408.0,1720.0,617
1528.0,1640.0,1344.0,1584.0,403
1592.0,1664.0,1464.0,1520.0,557
1736.0,1744.0,1584.0,1584.0,271
1656.0,1792.0,1648.0,1784.0,223
1808.0,1904.0,1736.0,1776.0,462
1880.0,1944.0,1768.0,1944.0,495
1904.0,1920.0,1832.0,1856.0,264
1856.0,1912.0,1800.0,1888.0,294
1784.0,1872.0,1760.0,1808.0,137
1704.0,1840.0,1688.0,1792.0,104
1720.0,1840.0,1704.0,1712.0,374
1696.0,1808.0,1688.0,1768.0,177
1600.0,1696.0,1600.0,1696.0,197
1528.0,1624.0,1520.0,1616.0,261
1632.0,1640.0,1488.0,1520.0,209
1664.0,1672.0,1568.0,1640.0,228
1656.0,1720.0,1608.0,1664.0,471
1624.0,1720.0,1576.0,1624.0,454
1624.0,1648.0,1600.0,1624.0,241
1664.0,1696.0,1616.0,1624.0,95
1784.0,1784.0,1672.0,1704.0,185
1672.0,1752.0,1672.0,1752.0,49
1656.0,1704.0,1624.0,1664.0,162
1728.0,1752.0,1688.0,1688.0,215
1648.0,1720.0,1640.0,1696.0,135
1512.0,1640.0,1472.0,1616.0,313
1504.0,1544.0,1424.0,1504.0,162
1576.0,1592.0,1472.0,1488.0,54
1496.0,1592.0,1488.0,1592.0,100
1432.0,1464.0,1416.0,1464.0,157
1480.0,1512.0,1424.0,1424.0,169
1352.0,1504.0,1336.0,1496.0,333
1472.0,1504.0,1360.0,1360.0,81
1528.0,1600.0,1472.0,1496.0,420
1536.0,1560.0,1440.0,1512.0,51
1520.0,1544.0,1496.0,1528.0,49
1536.0,1544.0,1496.0,1544.0,49
1480.0,1528.0,1472.0,1520.0,71
1448.0,1504.0,1448.0,1480.0,87
1456.0,1480.0,1408.0,1472.0,145
1448.0,1472.0,1424.0,1456.0,57
1448.0,1472.0,1384.0,1472.0,114
1384.0,1456.0,1384.0,1456.0,44
1360.0,1384.0,1336.0,1376.0,115
1368.0,1424.0,1344.0,1352.0,89
1328.0,1392.0,1280.0,1360.0,153
1352.0,1368.0,1280.0,1320.0,123
1328.0,1360.0,1280.0,1328.0,147
1232.0,1352.0,1160.0,1352.0,313
1288.0,1352.0,1224.0,1240.0,177
1304.0,1336.0,1272.0,1280.0,76
1368.0,1376.0,1296.0,1296.0,67
1360.0,1400.0,1328.0,1376.0,35
1344.0,1368.0,1328.0,1368.0,51
1408.0,1440.0,1336.0,1336.0,201
1352.0,1424.0,1344.0,1424.0,39
1376.0,1448.0,1344.0,1344.0,78
1400.0,1408.0,1360.0,1392.0,35
1424.0,1440.0,1400.0,1400.0,83
1392.0,1424.0,1376.0,1400.0,66
1872.0,1984.0,1568.0,1600.0,15495
1872.0,1880.0,1688.0,1792.0,1323
1840.0,2064.0,1736.0,1848.0,1646
1768.0,1896.0,1720.0,1816.0,324
1760.0,1840.0,1720.0,1768.0,301
1768.0,1832.0,1720.0,1784.0,9550
8632.0,9992.0,6968.0,8480.0,316984
5520.0,7680.0,5096.0,7376.0,31712
5192.0,5704.0,4960.0,5528.0,12770
4632.0,5384.0,4600.0,5128.0,6060
4432.0,4960.0,4432.0,4760.0,5190
4216.0,4400.0,4000.0,4392.0,2817
4288.0,4496.0,4016.0,4160.0,2790
4176.0,4280.0,4040.0,4168.0,1062
4144.0,4560.0,3904.0,4176.0,4592
4400.0,4432.0,4072.0,4080.0,1375
4320.0,4400.0,4168.0,4384.0,1517
4264.0,4760.0,4040.0,4400.0,3014
4096.0,4264.0,4000.0,4112.0,1441
4136.0,4352.0,4104.0,4104.0,1197
4072.0,4272.0,4000.0,4152.0,1361
3936.0,4064.0,3848.0,4056.0,1138
4008.0,4200.0,3800.0,3960.0,2443
3832.0,4024.0,3808.0,4024.0,846
3648.0,3824.0,3608.0,3800.0,826
3344.0,3696.0,3296.0,3632.0,933
3392.0,3440.0,3112.0,3152.0,988
3368.0,3456.0,3328.0,3360.0,275
3136.0,3480.0,3120.0,3392.0,506
